"variable","matriz","prueba","estadistico","gl","p_valor","significancia","decision"
"Cambio del IDH","Banda de distancia inversa","RSerr",0.636849296151524,1,0.424854020794286,"","No se rechaza H0"
"Cambio del IDH","Banda de distancia inversa","RSlag",0.604750941363447,1,0.436771046642675,"","No se rechaza H0"
"Cambio del IDH","Banda de distancia inversa","SARMA",0.637677873533143,2,0.726992631661188,"","No se rechaza H0"
"Cambio del IDH","Banda de distancia inversa","adjRSerr",0.0329269321696966,1,0.856008256140975,"","No se rechaza H0"
"Cambio del IDH","Banda de distancia inversa","adjRSlag",0.000828577381619689,1,0.977036048166227,"","No se rechaza H0"
"Cambio del IDH","Contigüidad queen","RSerr",0.644131608000739,1,0.42221863004243,"","No se rechaza H0"
"Cambio del IDH","Contigüidad queen","RSlag",0.198329098935398,1,0.656072943004741,"","No se rechaza H0"
"Cambio del IDH","Contigüidad queen","SARMA",2.50760129364502,2,0.285417959964239,"","No se rechaza H0"
"Cambio del IDH","Contigüidad queen","adjRSerr",2.30927219470962,1,0.128604253608652,"","No se rechaza H0"
"Cambio del IDH","Contigüidad queen","adjRSlag",1.86346968564428,1,0.172224882350045,"","No se rechaza H0"
"Cambio del ln PBI per cápita","Banda de distancia inversa","RSerr",1.22229647114729,1,0.268910439041737,"","No se rechaza H0"
"Cambio del ln PBI per cápita","Banda de distancia inversa","RSlag",0.0178674383066884,1,0.893664210854714,"","No se rechaza H0"
"Cambio del ln PBI per cápita","Banda de distancia inversa","SARMA",4.21299604567285,2,0.121663283313522,"","No se rechaza H0"
"Cambio del ln PBI per cápita","Banda de distancia inversa","adjRSerr",4.19512860736616,1,0.0405402781256241,"**","Se rechaza H0"
"Cambio del ln PBI per cápita","Banda de distancia inversa","adjRSlag",2.99069957452556,1,0.0837439828135815,"*","No se rechaza H0"
"Cambio del ln PBI per cápita","Contigüidad queen","RSerr",4.21404485176745,1,0.0400906312495199,"**","Se rechaza H0"
"Cambio del ln PBI per cápita","Contigüidad queen","RSlag",0.919086632989711,1,0.337714906944731,"","No se rechaza H0"
"Cambio del ln PBI per cápita","Contigüidad queen","SARMA",7.18631342426121,2,0.0275113478005984,"**","Se rechaza H0"
"Cambio del ln PBI per cápita","Contigüidad queen","adjRSerr",6.2672267912715,1,0.012299149423328,"**","Se rechaza H0"
"Cambio del ln PBI per cápita","Contigüidad queen","adjRSlag",2.97226857249376,1,0.0847029965144538,"*","No se rechaza H0"
