"variable_dependiente","matriz","modelo","term","estimate","std.error","statistic","p.value","lambda","AIC"
"Cambio IDH","Sin matriz","OLS","(Intercept)",0.111546934265692,0.0259624477288792,4.29647217514139,0.000292459830396943,NA,-106.469567612991
"Cambio IDH","Sin matriz","OLS","idh_2007",0.16368978385544,0.0730558469965201,2.24061167702616,0.0354738189239624,NA,-106.469567612991
"Cambio IDH","Banda inversa","SEM","(Intercept)",0.1094066252601,0.0239773891324716,4.56290819053085,0.00000504498796249919,-0.316634522271231,-105.250912735586
"Cambio IDH","Banda inversa","SEM","idh_2007",0.1711880618205,0.0684033965242478,2.50262516949457,0.0123276025690351,-0.316634522271231,-105.250912735586
"Cambio IDH","Banda inversa","Durbin-SEM","(Intercept)",0.0991381865325365,0.0592272980642424,1.67385968586654,0.0941581788267671,-0.332122569174418,-103.284069075751
"Cambio IDH","Banda inversa","Durbin-SEM","idh_2007",0.169753311721988,0.0689987573191476,2.46023723205346,0.0138845203980686,-0.332122569174418,-103.284069075751
"Cambio IDH","Banda inversa","Durbin-SEM","lag.idh_2007",0.031678419499621,0.169236318920404,0.187184522221381,0.851515959834894,-0.332122569174418,-103.284069075751
"Cambio IDH","Queen","SEM","(Intercept)",0.103522923173357,0.0242704209959729,4.26539462131845,0.0000199549182868797,-0.311661165339554,-105.347819853536
"Cambio IDH","Queen","SEM","idh_2007",0.188222485083734,0.0689156149699402,2.73120228508204,0.00631037261278999,-0.311661165339554,-105.347819853536
"Cambio IDH","Queen","Durbin-SEM","(Intercept)",0.0107009589313783,0.0541597800128246,0.197581285020811,0.843372678527543,-0.446996246874726,-106.236977964094
"Cambio IDH","Queen","Durbin-SEM","idh_2007",0.178158834500788,0.0653871214135595,2.7246777446276,0.00643642751098739,-0.446996246874726,-106.236977964094
"Cambio IDH","Queen","Durbin-SEM","lag.idh_2007",0.278203348602101,0.154093919734946,1.80541418558652,0.0710098929907332,-0.446996246874726,-106.236977964094
"Cambio ln PBIpc","Sin matriz","OLS","(Intercept)",0.0229294933641974,0.0507191554612931,0.452087444194459,0.655631944409329,NA,2.35657387332674
"Cambio ln PBIpc","Sin matriz","OLS","ln_rgdpc_2007",-0.328196469491089,0.0788719633822523,-4.16112970207788,0.00040706959763392,NA,2.35657387332674
"Cambio ln PBIpc","Banda inversa","SEM","(Intercept)",0.00101598288887197,0.0650779977028558,0.0156117724074874,0.987544113804891,0.30355657386609,3.22528373004555
"Cambio ln PBIpc","Banda inversa","SEM","ln_rgdpc_2007",-0.366621943963208,0.0736724659093592,-4.9763767160213,0.000000647855058932834,0.30355657386609,3.22528373004555
"Cambio ln PBIpc","Banda inversa","Durbin-SEM","(Intercept)",0.0801374524953741,0.0632819795471257,1.26635502032133,0.205386006812734,0.11201804066827,3.03829307553636
"Cambio ln PBIpc","Banda inversa","Durbin-SEM","ln_rgdpc_2007",-0.347112256582214,0.0708487471967492,-4.89934219469361,0.000000961580452374378,0.11201804066827,3.03829307553636
"Cambio ln PBIpc","Banda inversa","Durbin-SEM","lag.ln_rgdpc_2007",0.23231204972869,0.138396073930523,1.67860289046432,0.0932294628705581,0.11201804066827,3.03829307553636
"Cambio ln PBIpc","Queen","SEM","(Intercept)",0.0238276315259679,0.103732510436141,0.229702640240608,0.818322843147659,0.630424418450198,-1.35047419836103
"Cambio ln PBIpc","Queen","SEM","ln_rgdpc_2007",-0.379195061656801,0.0633645872189505,-5.98433728206146,0.00000000217272666525048,0.630424418450198,-1.35047419836103
"Cambio ln PBIpc","Queen","Durbin-SEM","(Intercept)",0.0814896379730694,0.102012613357787,0.798819237061032,0.424395234318572,0.556430748076287,-0.41291384756844
"Cambio ln PBIpc","Queen","Durbin-SEM","ln_rgdpc_2007",-0.343913889436971,0.0692796846501816,-4.96413762813035,0.000000690069979381036,0.556430748076287,-0.41291384756844
"Cambio ln PBIpc","Queen","Durbin-SEM","lag.ln_rgdpc_2007",0.197928560994345,0.179581151898315,1.10216778822322,0.270388733098471,0.556430748076287,-0.41291384756844
